WO,FASE,ARTICOLO,Descrizione Articolo,ID DAD,C.d.L. Prev,Descrizione Centro di Lavoro previsto,C.d.L. Effett,Cod CIC,Descrizione Macchina,Scarti Materiale,Scarti Lavoraz.,Pezzi Ripassati,Pezzi da Avanzare,Pezzi Mancanti,Tot pezzi Contegg.,Qta totale su AS/400,Qta opera su AS/400,Tempo Attrezz. ORE,Tempo Lavoraz. ORE,Durata Soste Ore,Buon Tempo Ciclo ORE,Tempo Macc AS400 ORE,Tempo Attr AS400 ORE,Data_Ora_Fine,Tempo_Teorico_TOT_ORE,Indice_Inefficienza
24028435,16019,1202602141.0,PC S45 C14,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,89.0,0,89.0,91.0,0.0,0.54,1.87,0.0,0.021,3.03,1.5,2025-01-07 11:28:44,1.869,1.0005350454788655
24026957,14019,1089930901.0,PS EX50 Z15 IR6.2 PAM,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,12.0,0,12.0,12.0,0.0,0.69,0.55,0.11,0.037,0.45,1.0,2025-01-07 15:09:21,0.444,1.2387387387387387
24023555,24044,1089956421.0,PS EX20 Z25 IR3.48 *28 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,31.0,0,31.0,30.0,0.0,0.57,4.22,1.9,0.0738333333333333,2.48,1.02,2025-01-08 16:06:31,2.2888333333333333,1.8437340712153207
24025600,24044,1083000951.0,ALBERO MOTORE C19 GR80 A12B AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,100.0,2,100.0,200.0,0.0,0.58,3.24,0.56,0.0266666666666666,1.67,1.0,2025-01-08 23:43:03,2.666666666666667,1.215
24026907,20044,1089930561.0,PS EX10 Z19 IR4.26,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,1,0,231.0,0,232.0,230.0,0.0,2.4,7.79,0.93,0.0295,8.82,1.02,2025-01-09 20:55:13,6.844,1.1382232612507306
24028423,14019,1203002111.0,PC A35 A11,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,183.0,0,183.0,231.0,0.0,0.0,0.91,0.29,0.0033333333333333,1.54,1.02,2025-01-14 10:26:23,0.61,1.4918032786885247
24026787,14019,1204120101.0,PC A40-50/O-P63/P71 A10,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,69.0,0,69.0,111.0,0.0,0.0,0.33,0.1,0.0033333333333333,0.84,1.01,2025-01-14 11:41:27,0.23,1.434782608695652
24028400,14017,1204120131.0,PC A40-50/O-P63/P71 A12A,43,641.0,Prod.Dir.Dentatura Ingranaggi,643.0,43,43: KOEPFER 160/2,0,0,0,152.0,0,152.0,151.0,0.0,0.0,0.72,0.04,0.0043333333333333,2.27,1.01,2025-01-14 14:31:07,0.6586666666666666,1.0931174089068827
24027378,16019,1207300091.0,PC P90 C09,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,98.0,0,98.0,100.0,0.0,0.0,1.21,0.53,0.0068333333333333,3.75,1.02,2025-01-14 17:55:48,0.6696666666666666,1.8068690890990544
24021481,16017,1089991631.0,PC LM A13 ASA,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,201.0,0,201.0,200.0,0.0,0.33,1.77,0.77,0.0048333333333333,2.2,1.02,2025-01-14 20:38:09,0.9715,1.8219248584662893
22032785,14019,1204480141.0,PC A80-100/O-P112/P132 A14,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,200.0,0,200.0,200.0,0.0,0.65,1.94,0.0,0.0096666666666666,2.4,1.0,2025-01-15 00:06:41,1.933333333333333,1.003448275862069
24020218,24044,1089990331.0,PC GM3000 A13 *15X30 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,775.0,0,775.0,351.0,0.0,2.23,34.82,4.54,0.039,7.9,1.02,2025-01-20 18:09:51,30.225,1.1520264681555004
24024798,22044,1204240131.0,PC A50-60/O-P71/P90 A12A,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,299.0,2,299.0,301.0,0.0,1.12,5.74,0.28,0.0181666666666666,2.56,1.02,2025-01-21 08:06:57,5.4318333333333335,1.056733454021049
24026244,20044,1203002121.0,PC A35 A12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,189.0,0,189.0,200.0,0.0,0.42,4.84,0.01,0.0255,1.5,1.02,2025-01-21 17:03:58,4.819500000000001,1.004253553273161
24025246,22044,1204000141.0,PC A40 A14 3C,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,398.0,0,398.0,400.0,0.0,2.19,9.23,0.58,0.0216666666666666,3.33,1.02,2025-01-22 13:26:10,8.623333333333333,1.07035175879397
24025802,20044,1203002111.0,PC A35 A11,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,118.0,0,118.0,120.0,0.0,0.02,3.22,0.49,0.023,0.86,1.02,2025-01-23 11:03:20,2.714,1.186440677966102
24024694,22044,1204120171.0,PC A40-50/O-P63/P71 A17,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,144.0,4,144.0,150.0,0.0,0.02,6.0,2.68,0.0228333333333333,1.75,1.01,2025-01-23 17:18:01,3.2880000000000003,1.824817518248175
24030305,14019,1200400111.0,PC A32 A11,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,251.0,0,251.0,250.0,0.0,0.81,1.49,0.33,0.0045,2.09,1.02,2025-01-23 20:24:47,1.1295000000000002,1.31916777335104
24028374,14019,1200400191.0,PC 80 AP19,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,99.0,0,99.0,100.0,0.0,0.21,0.61,0.15,0.0046666666666666,0.78,1.02,2025-01-23 22:14:55,0.462,1.3203463203463202
24028389,14017,1201300171.0,PC 112 AP17,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,97.0,0,97.0,101.0,0.0,0.33,0.57,0.0,0.0058333333333333,0.0,0.0,2025-01-24 00:22:34,0.5658333333333333,1.0073637702503682
24026905,20044,1201600151.0,PC 132 AP15,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,101.0,0,101.0,101.0,0.0,0.14,3.51,0.08,0.0338333333333333,1.57,1.02,2025-01-27 09:53:27,3.4171666666666667,1.0271667560844753
