WO,FASE,ARTICOLO,Data_Ora_Fine,Descrizione Macchina,Tempo_Teorico_TOT_ORE,Tempo Lavoraz. ORE,Indice_Inefficienza,Indice_Inefficienza_Predetto,Tempo_Predetto_ORE,Classe_Anomaly_Oriented,Classe_Anomaly_Oriented_Big_Data
24028435,16019,1202602141.0,2025-01-07 11:28:44,43: KOEPFER 160/2,1.869,1.87,1.0005350454788655,,,,
24026957,14019,1089930901.0,2025-01-07 15:09:21,43: KOEPFER 160/2,0.444,0.55,1.2387387387387387,,,,
24023555,24044,1089956421.0,2025-01-08 16:06:31,43: KOEPFER 160/2,2.2888333333333333,4.22,1.8437340712153207,,,,
24025600,24044,1083000951.0,2025-01-08 23:43:03,43: KOEPFER 160/2,2.666666666666667,3.24,1.215,1.2266265206151516,3.2392225,NORMALE,ATTENZIONE
24026907,20044,1089930561.0,2025-01-09 20:55:13,43: KOEPFER 160/2,6.844,7.79,1.1382232612507306,1.1380098127602374,7.7894387,NORMALE,NORMALE
24028423,14019,1203002111.0,2025-01-14 10:26:23,43: KOEPFER 160/2,0.61,0.91,1.4918032786885247,1.4154324806154173,0.9095914,ANOMALIA,ANOMALIA
24026787,14019,1204120101.0,2025-01-14 11:41:27,43: KOEPFER 160/2,0.23,0.33,1.434782608695652,1.404789298095274,0.3297109,ANOMALIA,ANOMALIA
24028400,14017,1204120131.0,2025-01-14 14:31:07,43: KOEPFER 160/2,0.6586666666666666,0.72,1.0931174089068827,1.0885359076000105,0.71995956,NORMALE,NORMALE
24027378,16019,1207300091.0,2025-01-14 17:55:48,43: KOEPFER 160/2,0.6696666666666666,1.21,1.8068690890990544,1.7194176997088129,1.2104418,ANOMALIA,ANOMALIA
24021481,16017,1089991631.0,2025-01-14 20:38:09,43: KOEPFER 160/2,0.9715,1.77,1.8219248584662893,1.7212145911499477,1.7701311,ANOMALIA,ANOMALIA
22032785,14019,1204480141.0,2025-01-15 00:06:41,43: KOEPFER 160/2,1.933333333333333,1.94,1.003448275862069,1.0054713443749403,1.9406371,NORMALE,NORMALE
24020218,24044,1089990331.0,2025-01-20 18:09:51,43: KOEPFER 160/2,30.225,34.82,1.1520264681555004,1.2256298523825706,34.81984,NORMALE,ATTENZIONE
24024798,22044,1204240131.0,2025-01-21 08:06:57,43: KOEPFER 160/2,5.4318333333333335,5.74,1.056733454021049,1.0681696222435877,5.7394443,NORMALE,NORMALE
24026244,20044,1203002121.0,2025-01-21 17:03:58,43: KOEPFER 160/2,4.819500000000001,4.84,1.004253553273161,1.0128788839649092,4.840105,NORMALE,NORMALE
24025246,22044,1204000141.0,2025-01-22 13:26:10,43: KOEPFER 160/2,8.623333333333333,9.23,1.07035175879397,1.1062271433489697,9.230114,NORMALE,NORMALE
24025802,20044,1203002111.0,2025-01-23 11:03:20,43: KOEPFER 160/2,2.714,3.22,1.186440677966102,1.2226844350802548,3.2203496,NORMALE,ATTENZIONE
24024694,22044,1204120171.0,2025-01-23 17:18:01,43: KOEPFER 160/2,3.2880000000000003,6.0,1.824817518248175,1.670895763526464,5.99996,ANOMALIA,ANOMALIA
24030305,14019,1200400111.0,2025-01-23 20:24:47,43: KOEPFER 160/2,1.1295000000000002,1.49,1.31916777335104,1.3029740658495894,1.4895757,NORMALE,ATTENZIONE
24028374,14019,1200400191.0,2025-01-23 22:14:55,43: KOEPFER 160/2,0.462,0.61,1.3203463203463202,1.3101620944044279,0.60947907,NORMALE,ATTENZIONE
24028389,14017,1201300171.0,2025-01-24 00:22:34,43: KOEPFER 160/2,0.5658333333333333,0.57,1.0073637702503682,1.0189208797659774,0.5699913,NORMALE,NORMALE
24026905,20044,1201600151.0,2025-01-27 09:53:27,43: KOEPFER 160/2,3.4171666666666667,3.51,1.0271667560844753,1.0412080871053604,3.5098152,NORMALE,NORMALE
24025967,18017,1201901001.0,2025-01-27 16:37:19,43: KOEPFER 160/2,2.833333333333333,4.72,1.6658823529411764,1.643174203514025,4.719923,ANOMALIA,ANOMALIA
24028369,22044,1200100131.0,2025-01-27 19:19:37,43: KOEPFER 160/2,0.7773333333333333,1.69,2.17409948542024,1.9855264440760376,1.6892928,ANOMALIA,ANOMALIA
24026243,20044,1203004091.0,2025-01-28 15:12:52,43: KOEPFER 160/2,11.044,12.36,1.119159724737414,1.1231360375465524,12.357928,NORMALE,NORMALE
24026906,22044,1203063091.0,2025-01-28 17:45:28,43: KOEPFER 160/2,2.144,2.36,1.1007462686567162,1.1239941371453426,2.3612409,NORMALE,NORMALE
24028450,20044,1089930521.0,2025-01-30 00:15:34,43: KOEPFER 160/2,15.536666666666669,16.32,1.0504183651576915,1.159801362951918,16.320532,NORMALE,NORMALE
25000581,16019,1207300091.0,2025-02-03 08:35:24,43: KOEPFER 160/2,2.5935,3.53,1.3610950453055717,1.4144065184466748,3.5291069,NORMALE,ATTENZIONE
24027887,22044,1200700211.0,2025-02-03 15:33:29,43: KOEPFER 160/2,4.932666666666666,4.93,0.999459386403568,1.0009416423923592,4.929525,NORMALE,NORMALE
24028400,22044,1204120131.0,2025-02-03 20:52:28,43: KOEPFER 160/2,3.453333333333333,3.62,1.0482625482625485,1.056069296653384,3.6206615,NORMALE,NORMALE
24025428,22044,1204240121.0,2025-02-04 16:48:56,43: KOEPFER 160/2,10.912,11.01,1.008980938416422,1.0299169641286772,11.011619,NORMALE,NORMALE
24026787,22044,1204120101.0,2025-02-05 18:10:04,43: KOEPFER 160/2,4.32,5.06,1.171296296296296,1.1846753389466904,5.060547,NORMALE,ATTENZIONE
24027815,20044,1203002101.0,2025-02-06 13:27:39,43: KOEPFER 160/2,8.364,8.92,1.0664753706360592,1.0842749906671434,8.920611,NORMALE,NORMALE
24028423,20044,1203002111.0,2025-02-06 22:44:10,43: KOEPFER 160/2,5.2745,5.78,1.095838468101242,1.09966421175059,5.780602,NORMALE,NORMALE
